epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,21650.9,1.29409,1.01525,1.30209,0.76856,0.68078,0.76658,0.45575,1.21828,0.98967,1.18749,0.002575,0.002575,0.002575
77,21931,1.2822,1.01478,1.29364,0.76743,0.68263,0.76711,0.45596,1.21914,0.98621,1.18824,0.002476,0.002476,0.002476
78,22218.6,1.28904,1.01476,1.29964,0.76398,0.68597,0.76658,0.45597,1.21926,0.98289,1.18805,0.002377,0.002377,0.002377
79,22507.6,1.28001,1.00312,1.29292,0.76167,0.68945,0.76679,0.4557,1.21882,0.97961,1.18776,0.002278,0.002278,0.002278
80,22791.5,1.27793,1.00131,1.29102,0.76438,0.68645,0.76686,0.45623,1.21895,0.97735,1.18772,0.002179,0.002179,0.002179
81,23077,1.27742,0.98697,1.2894,0.76824,0.68415,0.76755,0.45657,1.21859,0.975,1.18746,0.00208,0.00208,0.00208
82,23358.4,1.27452,0.98338,1.28029,0.76507,0.68624,0.76704,0.45692,1.2182,0.97251,1.18687,0.001981,0.001981,0.001981
83,23644.5,1.26417,0.97838,1.28029,0.75798,0.69044,0.76783,0.45707,1.21848,0.97066,1.18711,0.001882,0.001882,0.001882
84,23934.3,1.26023,0.97387,1.27471,0.7571,0.69134,0.76799,0.45759,1.21932,0.96895,1.1876,0.001783,0.001783,0.001783
85,24221.2,1.26002,0.96704,1.28087,0.75586,0.6945,0.76835,0.45742,1.2192,0.96735,1.1873,0.001684,0.001684,0.001684
86,24514.7,1.26521,0.96488,1.28258,0.75842,0.69422,0.76831,0.45757,1.21891,0.96669,1.18682,0.001585,0.001585,0.001585
87,24801.9,1.24644,0.95634,1.26843,0.75487,0.69548,0.76818,0.45787,1.219,0.9665,1.18656,0.001486,0.001486,0.001486
88,25090.4,1.23978,0.93311,1.26421,0.75842,0.69354,0.76793,0.45787,1.219,0.96506,1.18683,0.001387,0.001387,0.001387
89,25381.4,1.23539,0.92451,1.26033,0.75478,0.69416,0.76837,0.45832,1.21915,0.96369,1.187,0.001288,0.001288,0.001288
90,25670.9,1.23225,0.93873,1.26073,0.75332,0.69502,0.76827,0.45824,1.21936,0.96236,1.18712,0.001189,0.001189,0.001189
